time,flowcount
"11/18/2024, 06:04:18",1
"11/18/2024, 06:04:21",1
"11/18/2024, 06:04:24",1
"11/18/2024, 06:04:27",1
"11/18/2024, 06:04:30",1
"11/18/2024, 06:04:33",1
"11/18/2024, 06:04:36",1
"11/18/2024, 06:04:39",1
"11/18/2024, 06:04:42",1
"11/18/2024, 06:04:45",1
"11/18/2024, 06:04:48",1
"11/18/2024, 06:04:51",1
"11/18/2024, 06:04:54",1
"11/18/2024, 06:04:57",1
"11/18/2024, 06:05:00",1
"11/18/2024, 06:05:03",1
"11/18/2024, 06:05:06",1
"11/18/2024, 06:05:09",1
"11/18/2024, 06:05:12",1
"11/18/2024, 06:05:15",1
"11/18/2024, 06:05:18",1
"11/18/2024, 06:05:21",1
"11/18/2024, 06:05:24",1
"11/18/2024, 06:05:27",1
"11/18/2024, 06:05:30",1
"11/18/2024, 06:05:33",1
"11/18/2024, 06:05:36",1
"11/18/2024, 06:05:39",1
"11/18/2024, 06:05:42",1
"11/18/2024, 06:05:45",1
"11/18/2024, 06:05:48",1
"11/18/2024, 06:05:51",1
"11/18/2024, 06:05:54",1
"11/18/2024, 06:05:57",1
"11/18/2024, 06:06:00",1
"11/18/2024, 06:06:03",1
"11/18/2024, 06:06:06",1
"11/18/2024, 06:06:09",1
"11/18/2024, 06:06:12",1
"11/18/2024, 06:06:15",1
"11/18/2024, 06:06:18",1
"11/18/2024, 06:06:21",1
"11/18/2024, 06:06:24",1
"11/18/2024, 06:06:27",1
"11/18/2024, 06:06:30",1
"11/18/2024, 06:06:33",1
"11/18/2024, 06:06:36",1
"11/18/2024, 06:06:39",1
time,flowcount
"11/18/2024, 06:11:45",1
"11/18/2024, 06:11:48",1
"11/18/2024, 06:11:51",1
"11/18/2024, 06:11:54",1
"11/18/2024, 06:11:57",1
"11/18/2024, 06:12:00",1
"11/18/2024, 06:12:03",1
"11/18/2024, 06:12:06",1
"11/18/2024, 06:12:09",1
"11/18/2024, 06:12:12",1
"11/18/2024, 06:12:15",1
"11/18/2024, 06:12:18",1
"11/18/2024, 06:12:21",1
"11/18/2024, 06:12:24",1
"11/18/2024, 06:12:27",1
"11/18/2024, 06:12:30",1
"11/18/2024, 06:12:33",1
"11/18/2024, 06:12:36",1
"11/18/2024, 06:12:39",1
"11/18/2024, 06:12:42",1
"11/18/2024, 06:12:45",1
"11/18/2024, 06:12:48",1
"11/18/2024, 06:12:51",1
"11/18/2024, 06:12:54",1
"11/18/2024, 06:12:57",1
"11/18/2024, 06:13:00",1
"11/18/2024, 06:13:03",1
"11/18/2024, 06:13:06",1
"11/18/2024, 06:13:09",1
"11/18/2024, 06:13:12",1
"11/18/2024, 06:13:15",1
"11/18/2024, 06:13:18",1
"11/18/2024, 06:13:21",1
"11/18/2024, 06:13:24",1
"11/18/2024, 06:13:27",1
"11/18/2024, 06:13:30",1
"11/18/2024, 06:13:33",1
"11/18/2024, 06:13:36",1
"11/18/2024, 06:13:39",1
"11/18/2024, 06:13:42",1
"11/18/2024, 06:13:45",1
"11/18/2024, 06:13:48",1
"11/18/2024, 06:13:51",1
"11/18/2024, 06:13:54",1
"11/18/2024, 06:13:57",1
"11/18/2024, 06:14:00",1
"11/18/2024, 06:14:03",1
"11/18/2024, 06:14:06",1
"11/18/2024, 06:14:09",1
"11/18/2024, 06:14:12",1
"11/18/2024, 06:14:15",1
"11/18/2024, 06:14:18",1
time,flowcount
"11/18/2024, 06:16:41",1
"11/18/2024, 06:16:44",1
"11/18/2024, 06:16:47",1
"11/18/2024, 06:16:50",1
"11/18/2024, 06:16:53",1
"11/18/2024, 06:16:56",1
"11/18/2024, 06:16:59",1
"11/18/2024, 06:17:02",1
"11/18/2024, 06:17:05",1
"11/18/2024, 06:17:08",1
"11/18/2024, 06:17:11",1
"11/18/2024, 06:17:14",1
"11/18/2024, 06:17:17",1
"11/18/2024, 06:17:20",1
"11/18/2024, 06:17:23",1
"11/18/2024, 06:17:26",1
"11/18/2024, 06:17:29",1
"11/18/2024, 06:17:32",1
"11/18/2024, 06:17:35",1
"11/18/2024, 06:17:38",1
"11/18/2024, 06:17:41",1
"11/18/2024, 06:17:44",1
"11/18/2024, 06:17:47",1
"11/18/2024, 06:17:50",1
"11/18/2024, 06:17:53",1
"11/18/2024, 06:17:56",1
"11/18/2024, 06:17:59",1
"11/18/2024, 06:18:02",1
"11/18/2024, 06:18:05",1
"11/18/2024, 06:18:08",1
"11/18/2024, 06:18:11",1
"11/18/2024, 06:18:14",1
"11/18/2024, 06:18:17",1
"11/18/2024, 06:18:20",1
"11/18/2024, 06:18:23",1
"11/18/2024, 06:18:26",1
"11/18/2024, 06:18:29",1
"11/18/2024, 06:18:32",1
"11/18/2024, 06:18:35",1
"11/18/2024, 06:18:38",1
"11/18/2024, 06:18:41",1
"11/18/2024, 06:18:44",1
"11/18/2024, 06:18:47",1
"11/18/2024, 06:18:50",1
"11/18/2024, 06:18:53",1
"11/18/2024, 06:18:56",1
"11/18/2024, 06:18:59",1
"11/18/2024, 06:19:02",1
"11/18/2024, 06:19:05",1
"11/18/2024, 06:19:08",1
"11/18/2024, 06:19:11",1
"11/18/2024, 06:19:14",1
"11/18/2024, 06:19:17",1
"11/18/2024, 06:19:20",1
"11/18/2024, 06:19:23",1
"11/18/2024, 06:19:26",1
"11/18/2024, 06:19:29",1
"11/18/2024, 06:19:32",1
"11/18/2024, 06:19:35",1
"11/18/2024, 06:19:38",1
"11/18/2024, 06:19:41",1
"11/18/2024, 06:19:44",1
"11/18/2024, 06:19:47",1
"11/18/2024, 06:19:50",1
"11/18/2024, 06:19:53",1
"11/18/2024, 06:19:56",1
"11/18/2024, 06:19:59",1
"11/18/2024, 06:20:02",1
"11/18/2024, 06:20:05",1
"11/18/2024, 06:20:08",1
"11/18/2024, 06:20:11",1
"11/18/2024, 06:20:14",1
"11/18/2024, 06:20:17",1
"11/18/2024, 06:20:20",1
"11/18/2024, 06:20:23",1
"11/18/2024, 06:20:26",1
"11/18/2024, 06:20:29",1
"11/18/2024, 06:20:32",1
"11/18/2024, 06:20:35",1
"11/18/2024, 06:20:38",1
"11/18/2024, 06:20:41",1
"11/18/2024, 06:20:44",1
"11/18/2024, 06:20:47",1
"11/18/2024, 06:20:50",1
"11/18/2024, 06:20:53",1
"11/18/2024, 06:20:56",1
"11/18/2024, 06:20:59",1
"11/18/2024, 06:21:02",1
"11/18/2024, 06:21:05",1
"11/18/2024, 06:21:09",1
"11/18/2024, 06:21:11",1
"11/18/2024, 06:21:15",1
"11/18/2024, 06:21:18",1
"11/18/2024, 06:21:20",1
"11/18/2024, 06:21:23",1
"11/18/2024, 06:21:26",1
"11/18/2024, 06:21:29",1
"11/18/2024, 06:21:33",1
"11/18/2024, 06:21:35",1
time,flowcount
"11/18/2024, 06:22:09",1
"11/18/2024, 06:22:11",1
"11/18/2024, 06:22:15",1
"11/18/2024, 06:22:19",1
"11/18/2024, 06:22:21",1
"11/18/2024, 06:22:26",1
"11/18/2024, 06:22:28",1
"11/18/2024, 06:22:31",1
"11/18/2024, 06:22:33",1
"11/18/2024, 06:22:36",1
"11/18/2024, 06:22:39",1
"11/18/2024, 06:22:41",1
"11/18/2024, 06:22:44",1
"11/18/2024, 06:22:47",1
"11/18/2024, 06:22:50",1
"11/18/2024, 06:22:53",1
"11/18/2024, 06:22:56",1
"11/18/2024, 06:22:59",1
"11/18/2024, 06:23:02",1
"11/18/2024, 06:23:05",1
"11/18/2024, 06:23:08",1
"11/18/2024, 06:23:11",1
"11/18/2024, 06:23:14",1
"11/18/2024, 06:23:17",1
"11/18/2024, 06:23:20",1
"11/18/2024, 06:23:23",1
"11/18/2024, 06:23:26",1
"11/18/2024, 06:23:29",1
"11/18/2024, 06:23:32",1
time,flowcount
"11/18/2024, 06:23:45",1
"11/18/2024, 06:23:48",1
"11/18/2024, 06:23:51",1
"11/18/2024, 06:23:53",1
"11/18/2024, 06:23:57",1
"11/18/2024, 06:24:00",1
"11/18/2024, 06:24:03",1
"11/18/2024, 06:24:05",1
"11/18/2024, 06:24:08",1
"11/18/2024, 06:24:12",1
time,flowcount
"11/23/2024, 00:59:18",1
"11/23/2024, 00:59:21",1
"11/23/2024, 00:59:24",1
"11/23/2024, 00:59:27",1
"11/23/2024, 00:59:30",1
"11/23/2024, 00:59:33",1
"11/23/2024, 00:59:36",1
"11/23/2024, 00:59:39",1
"11/23/2024, 00:59:42",1
"11/23/2024, 00:59:45",1
"11/23/2024, 00:59:48",1
"11/23/2024, 00:59:51",1
"11/23/2024, 00:59:54",1
"11/23/2024, 00:59:57",1
"11/23/2024, 01:00:00",1
"11/23/2024, 01:00:03",1
"11/23/2024, 01:00:06",1
"11/23/2024, 01:00:09",1
"11/23/2024, 01:00:12",1
"11/23/2024, 01:00:15",1
"11/23/2024, 01:00:18",1
"11/23/2024, 01:00:21",1
"11/23/2024, 01:00:24",1
"11/23/2024, 01:00:27",1
"11/23/2024, 01:00:30",1
"11/23/2024, 01:00:33",1
"11/23/2024, 01:00:36",1
"11/23/2024, 01:00:39",1
"11/23/2024, 01:00:42",1
"11/23/2024, 01:00:45",1
"11/23/2024, 01:00:48",1
"11/23/2024, 01:00:51",1
"11/23/2024, 01:00:54",1
"11/23/2024, 01:00:57",1
"11/23/2024, 01:01:00",1
"11/23/2024, 01:01:03",1
"11/23/2024, 01:01:06",1
"11/23/2024, 01:01:09",1
"11/23/2024, 01:01:12",1
"11/23/2024, 01:01:15",1
"11/23/2024, 01:01:18",1
"11/23/2024, 01:01:21",1
"11/23/2024, 01:01:24",1
"11/23/2024, 01:01:27",1
"11/23/2024, 01:01:30",1
"11/23/2024, 01:01:33",1
"11/23/2024, 01:01:36",1
"11/23/2024, 01:01:39",1
"11/23/2024, 01:01:42",1
"11/23/2024, 01:01:45",1
"11/23/2024, 01:01:48",1
"11/23/2024, 01:01:51",1
"11/23/2024, 01:01:54",1
"11/23/2024, 01:01:57",1
"11/23/2024, 01:02:00",1
"11/23/2024, 01:02:03",1
"11/23/2024, 01:02:06",1
"11/23/2024, 01:02:09",1
"11/23/2024, 01:02:12",1
"11/23/2024, 01:02:15",1
"11/23/2024, 01:02:18",1
"11/23/2024, 01:02:21",1
"11/23/2024, 01:02:24",1
"11/23/2024, 01:02:27",1
"11/23/2024, 01:02:30",1
"11/23/2024, 01:02:33",1
"11/23/2024, 01:02:36",1
"11/23/2024, 01:02:39",1
"11/23/2024, 01:02:42",1
"11/23/2024, 01:02:45",1
"11/23/2024, 01:02:48",1
"11/23/2024, 01:02:51",1
"11/23/2024, 01:02:54",1
"11/23/2024, 01:02:57",1
"11/23/2024, 01:03:00",1
"11/23/2024, 01:03:03",1
"11/23/2024, 01:03:06",1
"11/23/2024, 01:03:09",1
"11/23/2024, 01:03:12",1
"11/23/2024, 01:03:15",1
"11/23/2024, 01:03:18",1
"11/23/2024, 01:03:21",1
"11/23/2024, 01:03:24",1
"11/23/2024, 01:03:27",1
"11/23/2024, 01:03:30",1
"11/23/2024, 01:03:33",1
"11/23/2024, 01:03:36",1
"11/23/2024, 01:03:39",1
"11/23/2024, 01:03:42",1
"11/23/2024, 01:03:45",1
"11/23/2024, 01:03:48",1
"11/23/2024, 01:03:51",1
"11/23/2024, 01:03:54",1
"11/23/2024, 01:03:57",1
"11/23/2024, 01:04:00",1
"11/23/2024, 01:04:03",1
"11/23/2024, 01:04:06",1
"11/23/2024, 01:04:09",1
"11/23/2024, 01:04:12",1
"11/23/2024, 01:04:15",1
"11/23/2024, 01:04:18",1
"11/23/2024, 01:04:21",1
"11/23/2024, 01:04:24",1
"11/23/2024, 01:04:27",1
"11/23/2024, 01:04:30",1
"11/23/2024, 01:04:33",1
"11/23/2024, 01:04:36",1
"11/23/2024, 01:04:39",1
"11/23/2024, 01:04:42",1
"11/23/2024, 01:04:45",1
"11/23/2024, 01:04:48",1
"11/23/2024, 01:04:51",1
"11/23/2024, 01:04:54",1
"11/23/2024, 01:04:57",1
"11/23/2024, 01:05:00",1
"11/23/2024, 01:05:03",1
"11/23/2024, 01:05:06",1
time,flowcount
"11/23/2024, 01:05:10",1
"11/23/2024, 01:05:13",1
"11/23/2024, 01:05:16",1
"11/23/2024, 01:05:19",1
"11/23/2024, 01:05:22",1
"11/23/2024, 01:05:25",1
"11/23/2024, 01:05:28",1
"11/23/2024, 01:05:31",1
"11/23/2024, 01:05:34",1
"11/23/2024, 01:05:37",1
"11/23/2024, 01:05:40",1
"11/23/2024, 01:05:43",1
"11/23/2024, 01:05:46",1
"11/23/2024, 01:05:49",1
"11/23/2024, 01:05:52",1
"11/23/2024, 01:05:55",1
"11/23/2024, 01:05:58",1
"11/23/2024, 01:06:01",1
"11/23/2024, 01:06:04",1
"11/23/2024, 01:06:07",1
"11/23/2024, 01:06:10",1
"11/23/2024, 01:06:13",1
"11/23/2024, 01:06:16",1
"11/23/2024, 01:06:19",1
"11/23/2024, 01:06:22",1
"11/23/2024, 01:06:25",1
"11/23/2024, 01:06:28",1
"11/23/2024, 01:06:31",1
"11/23/2024, 01:06:34",1
"11/23/2024, 01:06:37",1
"11/23/2024, 01:06:40",1
"11/23/2024, 01:06:43",1
"11/23/2024, 01:06:46",1
"11/23/2024, 01:06:49",1
"11/23/2024, 01:06:52",1
"11/23/2024, 01:06:55",1
"11/23/2024, 01:06:58",1
"11/23/2024, 01:07:01",1
time,flowcount
"11/23/2024, 01:07:04",1
"11/23/2024, 01:07:07",1
"11/23/2024, 01:07:10",1
"11/23/2024, 01:07:13",1
"11/23/2024, 01:07:16",1
"11/23/2024, 01:07:19",1
"11/23/2024, 01:07:22",1
"11/23/2024, 01:07:26",1
"11/23/2024, 01:07:28",1
"11/23/2024, 01:07:31",1
"11/23/2024, 01:07:34",1
"11/23/2024, 01:07:37",1
"11/23/2024, 01:07:40",1
"11/23/2024, 01:07:43",1
"11/23/2024, 01:07:46",1
"11/23/2024, 01:07:49",1
"11/23/2024, 01:07:52",1
"11/23/2024, 01:07:55",1
"11/23/2024, 01:07:58",1
"11/23/2024, 01:08:01",1
"11/23/2024, 01:08:04",1
"11/23/2024, 01:08:07",1
"11/23/2024, 01:08:10",1
time,flowcount
"11/23/2024, 02:29:50",1
"11/23/2024, 02:29:53",1
"11/23/2024, 02:29:56",1
"11/23/2024, 02:29:59",1
"11/23/2024, 02:30:02",1
"11/23/2024, 02:30:05",1
"11/23/2024, 02:30:08",1
"11/23/2024, 02:30:11",1
"11/23/2024, 02:30:14",1
"11/23/2024, 02:30:17",1
"11/23/2024, 02:30:20",1
"11/23/2024, 02:30:23",1
"11/23/2024, 02:30:26",1
"11/23/2024, 02:30:29",1
time,flowcount
"11/23/2024, 02:33:47",1
"11/23/2024, 02:33:50",1
"11/23/2024, 02:33:53",1
"11/23/2024, 02:33:56",1
"11/23/2024, 02:33:59",1
"11/23/2024, 02:34:02",1
"11/23/2024, 02:34:05",1
"11/23/2024, 02:34:08",1
"11/23/2024, 02:34:11",1
"11/23/2024, 02:34:14",1
"11/23/2024, 02:34:17",1
"11/23/2024, 02:34:20",1
"11/23/2024, 02:34:23",1
"11/23/2024, 02:34:26",1
"11/23/2024, 02:34:29",1
"11/23/2024, 02:34:32",1
"11/23/2024, 02:34:35",1
"11/23/2024, 02:34:38",1
"11/23/2024, 02:34:41",1
"11/23/2024, 02:34:44",1
"11/23/2024, 02:34:47",1
"11/23/2024, 02:34:50",1
"11/23/2024, 02:34:53",1
"11/23/2024, 02:34:56",1
"11/23/2024, 02:34:59",1
"11/23/2024, 02:35:02",1
"11/23/2024, 02:35:05",1
"11/23/2024, 02:35:08",1
"11/23/2024, 02:35:11",1
"11/23/2024, 02:35:14",1
"11/23/2024, 02:35:17",1
"11/23/2024, 02:35:20",1
"11/23/2024, 02:35:23",1
"11/23/2024, 02:35:26",1
"11/23/2024, 02:35:29",1
"11/23/2024, 02:35:32",1
"11/23/2024, 02:35:35",1
"11/23/2024, 02:35:38",1
"11/23/2024, 02:35:41",1
"11/23/2024, 02:35:44",1
"11/23/2024, 02:35:47",1
"11/23/2024, 02:35:50",1
"11/23/2024, 02:35:53",1
"11/23/2024, 02:35:56",1
"11/23/2024, 02:35:59",1
"11/23/2024, 02:36:02",1
"11/23/2024, 02:36:05",1
"11/23/2024, 02:36:08",1
"11/23/2024, 02:36:11",1
"11/23/2024, 02:36:14",1
"11/23/2024, 02:36:17",1
"11/23/2024, 02:36:20",1
"11/23/2024, 02:36:23",1
"11/23/2024, 02:36:26",1
"11/23/2024, 02:36:29",1
"11/23/2024, 02:36:32",1
"11/23/2024, 02:36:35",1
"11/23/2024, 02:36:38",1
time,flowcount
"11/23/2024, 02:37:30",1
"11/23/2024, 02:37:33",1
"11/23/2024, 02:37:36",1
"11/23/2024, 02:37:39",1
"11/23/2024, 02:37:44",1
"11/23/2024, 02:37:46",1
"11/23/2024, 02:37:48",1
"11/23/2024, 02:37:52",1
"11/23/2024, 02:37:55",1
"11/23/2024, 02:37:58",1
"11/23/2024, 02:38:01",1
"11/23/2024, 02:38:03",1
"11/23/2024, 02:38:06",1
"11/23/2024, 02:38:09",1
"11/23/2024, 02:38:12",1
"11/23/2024, 02:38:15",1
"11/23/2024, 02:38:18",1
"11/23/2024, 02:38:21",1
"11/23/2024, 02:38:24",1
"11/23/2024, 02:38:27",1
"11/23/2024, 02:38:30",1
"11/23/2024, 02:38:33",1
"11/23/2024, 02:38:36",1
"11/23/2024, 02:38:39",1
"11/23/2024, 02:38:43",1
"11/23/2024, 02:38:45",1
"11/23/2024, 02:38:48",1
"11/23/2024, 02:38:51",1
"11/23/2024, 02:38:54",1
"11/23/2024, 02:38:58",1
"11/23/2024, 02:39:00",1
"11/23/2024, 02:39:03",1
"11/23/2024, 02:39:06",1
"11/23/2024, 02:39:10",1
"11/23/2024, 02:39:12",1
"11/23/2024, 02:39:15",1
"11/23/2024, 02:39:18",1
"11/23/2024, 02:39:22",1
"11/23/2024, 02:39:25",1
"11/23/2024, 02:39:28",1
"11/23/2024, 02:39:31",1
"11/23/2024, 02:39:34",1
"11/23/2024, 02:39:37",1
"11/23/2024, 02:39:40",1
"11/23/2024, 02:39:43",1
"11/23/2024, 02:39:46",1
"11/23/2024, 02:39:49",1
"11/23/2024, 02:39:52",1
