time,sfe,ssip,rfip,type
"11/18/2024, 06:17:26",-544,-544,1.0,1
"11/18/2024, 06:17:29",-580,-580,1.0,1
"11/18/2024, 06:17:32",-617,-617,1.0,1
"11/18/2024, 06:17:35",-654,-654,1.0,1
"11/18/2024, 06:17:38",-690,-690,1.0,1
"11/18/2024, 06:17:41",-727,-727,1.0,1
"11/18/2024, 06:17:44",-763,-763,1.0,1
"11/18/2024, 06:17:47",-800,-800,1.0,1
"11/18/2024, 06:17:50",-837,-837,1.0,1
"11/18/2024, 06:17:53",-873,-873,1.0,1
"11/18/2024, 06:17:56",-910,-910,1.0,1
"11/18/2024, 06:17:59",-947,-947,1.0,1
"11/18/2024, 06:18:02",-983,-983,1.0,1
"11/18/2024, 06:18:05",-1020,-1020,1.0,1
"11/18/2024, 06:18:08",-1056,-1056,1.0,1
"11/18/2024, 06:18:11",-1093,-1093,1.0,1
"11/18/2024, 06:18:14",-1130,-1130,1.0,1
"11/18/2024, 06:18:17",-1166,-1166,1.0,1
"11/18/2024, 06:18:20",-1203,-1203,1.0,1
"11/18/2024, 06:18:23",-1239,-1239,1.0,1
"11/18/2024, 06:18:26",-1276,-1276,1.0,1
"11/18/2024, 06:18:29",-1313,-1313,1.0,1
"11/18/2024, 06:18:32",-1349,-1349,1.0,1
"11/18/2024, 06:18:35",-1386,-1386,1.0,1
"11/18/2024, 06:18:38",-1423,-1423,1.0,1
"11/18/2024, 06:18:41",-1459,-1459,1.0,1
"11/18/2024, 06:18:44",-1496,-1496,1.0,1
"11/18/2024, 06:18:47",-1527,-1527,1.0,1
"11/18/2024, 06:18:50",-1564,-1564,1.0,1
"11/18/2024, 06:18:53",-1600,-1600,1.0,1
"11/18/2024, 06:18:56",-1637,-1637,1.0,1
"11/18/2024, 06:18:59",-1673,-1673,1.0,1
"11/18/2024, 06:19:02",-1710,-1710,1.0,1
"11/18/2024, 06:19:05",-1747,-1747,1.0,1
"11/18/2024, 06:19:08",-1783,-1783,1.0,1
